oomp_id,part_number_distributor_orbital_fasteners,part_number_manufacturer_metalmate,distributor_current,quantity_current,price_1_distributor_orbital_fasteners,price_100_distributor_orbital_fasteners,price_200_distributor_orbital_fasteners,price_1000_distributor_orbital_fasteners,price_10000_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,webpage_manufacturer_metalmate,name_manufacturer_metalmate,box_size_manufacturer_metalmate,box_of_box_size_manufacturer_metalmate,commonity_code,barcode_manufacturer_metalmate,price_1,price_100,price_200,price_1000,price_10000,price_current,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth_weight,project_bolt_tray_capacity_oobb_2_5_width_2_length_18_mm_depth,weight,weight_10,part_number_distributor_accu,part_number_distributor_accu_search,price_1_distributor_accu,price_100_distributor_accu,price_200_distributor_accu,price_1000_distributor_accu,price_10000_distributor_accu,webpage_distributor_accu
hardware_set_screw_m5_45_mm_length,1851142,Z0318M470045,orbital_fasteners,200,0.0571,0.0571,0.0318,0.0254,0.0254,https://www.orbitalfasteners.co.uk/products/m5-x-45-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,,,,,,,0.0571,0.0571,0.0318,0.0254,0.0254,0.0318,,,,,,,,,,,,,
hardware_set_screw_m5_60_mm_length,1851143,Z0318M470060,orbital_fasteners,200,0.073,0.073,0.0406,0.0324,0.0324,https://www.orbitalfasteners.co.uk/products/m5-x-60-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-,https://www.harclob2b.com/m5-x-60-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470060,M5 x 60 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2000,7318158880,5050420675192,0.073,0.073,0.0406,0.0324,0.0324,0.0406,,,,,,,,,,,,,
hardware_set_screw_m5_70_mm_length,1851145,Z0318M470070,orbital_fasteners,200,0.1342,0.0745,0.0745,0.0596,0.0596,https://www.orbitalfasteners.co.uk/products/m5-x-70-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,,,,,,,0.1342,0.0745,0.0745,0.0596,0.0596,0.0745,,,,,,,,,,,,,
hardware_set_screw_m5_80_mm_length,1851147,Z0318M470080,orbital_fasteners,200,0.216,0.12,0.12,0.096,0.096,https://www.orbitalfasteners.co.uk/products/m5-x-80-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,,,,,,,0.216,0.12,0.12,0.096,0.096,0.12,,,,,,,,,,,,,
hardware_set_screw_m6_8_mm_length,1851149,Z0318M490008,orbital_fasteners,200,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m6-x-8-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,https://www.harclob2b.com/m6-x-8-high-tensile-set-gr-8-8-zinc-plated-metalma-z0318m490008,M6 x 8 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654128,0.0232,0.0232,0.0232,0.0128,0.0103,0.0232,,,,,,,,,,,,,
hardware_set_screw_m6_10_mm_length,1851150,Z0318M490010,orbital_fasteners,200,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m6-x-10-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-10-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490010,M6 x 10 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,5000,7318158880,5050420654135,0.0232,0.0232,0.0232,0.0128,0.0103,0.0232,,,,,,,,,,,,,
hardware_set_screw_m6_12_mm_length,1851160,Z0318M490012,orbital_fasteners,200,0.0254,0.0254,0.0254,0.0142,0.0113,https://www.orbitalfasteners.co.uk/products/m6-x-12-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-12-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490012,M6 x 12 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,5000,7318158880,5050420654142,0.0254,0.0254,0.0254,0.0142,0.0113,0.0254,,,,,,,,,,,,,
hardware_set_screw_m6_16_mm_length,1851170,Z0318M490016,orbital_fasteners,200,0.029,0.029,0.029,0.0162,0.013,https://www.orbitalfasteners.co.uk/products/m6-x-16-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-16-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490016,M6 x 16 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,4000,7318158880,5050420654159,0.029,0.029,0.029,0.0162,0.013,0.029,,,,,,,,,,,,,
hardware_set_screw_m6_18_mm_length,1851178,Z0318M490018,orbital_fasteners,200,0.0551,0.0551,0.0551,0.0306,0.0245,https://www.orbitalfasteners.co.uk/products/m6-x-18-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated-din-933,,,,,,,0.0551,0.0551,0.0551,0.0306,0.0245,0.0551,,,,,,,,,,,,,
hardware_set_screw_m6_20_mm_length,1851180,Z0318M490020,orbital_fasteners,200,0.0328,0.0328,0.0328,0.0182,0.0145,https://www.orbitalfasteners.co.uk/products/m6-x-20-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m6-x-20-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m490020,M6 x 20 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,4000,7318158880,5050420654166,0.0328,0.0328,0.0328,0.0182,0.0145,0.0328,,,,,,,,,,,,,
